iter	Passed	Remaining
154	7445	30983
155	7455	30776
156	7585	31065
157	7610	30923
158	7710	31085
159	7726	30905
160	7733	30692
161	7741	30489
162	7750	30289
163	7868	30513
164	7878	30320
165	7913	30223
166	7921	30025
167	8010	30135
168	8102	30251
169	8116	30078
170	8132	29915
171	8285	30250
172	8297	30072
173	8307	29888
174	8318	29707
175	8335	29553
176	8442	29716
177	8471	29602
178	8486	29442
179	8499	29275
180	8517	29128
181	8565	29085
182	8662	29207
183	8737	29250
184	8758	29116
185	8783	28994
186	8945	29323
187	8973	29212
188	9060	29290
189	9141	29347
190	9307	29678
191	9383	29713
192	9472	29790
193	9490	29646
194	9627	29868
195	9691	29864
196	9735	29800
197	9804	29810
198	9827	29678
199	10004	30013
200	10027	29882
201	10161	30082
202	10174	29920
203	10180	29744
204	10215	29651
205	10244	29538
206	10348	29646
207	10437	29705
208	10454	29561
209	10554	29653
210	10588	29558
211	10634	29494
212	10695	29474
213	10808	29597
214	10834	29479
215	10875	29402
216	10955	29432
217	11040	29475
218	11147	29574
219	11396	30044
220	11599	30389
221	11629	30278
222	11645	30132
223	11666	30000
224	11929	30485
225	11958	30371
226	11967	30209
227	11991	30084
228	12414	30954
229	12420	30782
230	12427	30610
231	12433	30439
232	12440	30273
233	12518	30279
234	12577	30240
235	12631	30187
236	12649	30048
237	12768	30149
238	12997	30509
239	13013	30365
240	13124	30442
241	13431	30971
242	13444	30817
243	13459	30670
244	13476	30529
245	13877	31252
246	13902	31125
247	13929	31004
248	13957	30886
249	13973	30742
250	14275	31223
251	14323	31147
252	14375	31081
253	14616	31418
254	14622	31251
255	14628	31086
256	14635	30921
257	14640	30757
258	14982	31294
259	15003	31160
260	15027	31034
261	15045	30894
262	15099	30830
263	15109	30676
264	15118	30522
265	15127	30369
266	15138	30219
267	15147	30069
268	15155	29917
269	15163	29765
270	15172	29617
271	15180	29467
272	15185	29314
273	15198	29176
274	15208	29033
275	15218	28892
276	15226	28748
277	15234	28605
278	15242	28463
279	15255	28332
280	15398	28440
281	15406	28300
282	15419	28168
283	15429	28033
284	15435	27892
285	15704	28224
286	15728	28113
287	15740	27982
288	15748	27845
289	15758	27713
290	15764	27574
291	15772	27439
292	15778	27302
293	15784	27167
294	15790	27031
295	15796	26896
296	15803	26765
297	15809	26632
298	15816	26502
299	15823	26372
300	15829	26241
301	15835	26112
302	15839	25981
303	15844	25851
304	15849	25723
305	15854	25594
306	15859	25468
307	15961	25497
308	15968	25374
309	15974	25249
310	16121	25348
311	16200	25339
312	16220	25236
313	16234	25126
314	16308	25110
315	16710	25593
316	16769	25551
317	16808	25476
318	16820	25361
319	16906	25359
320	16913	25238
321	16919	25115
322	16926	24997
323	16932	24875
324	16951	24774
325	16959	24659
326	16965	24540
327	16970	24421
328	16979	24307
329	16996	24207
330	17006	24096
331	17011	23980
332	17021	23871
333	17028	23758
334	17037	23649
335	17044	23537
336	17051	23427
337	17057	23314
338	17064	23205
339	17321	23434
340	17388	23405
341	17447	23365
342	17466	23271
343	17474	23163
344	17507	23088
345	17521	22990
346	17797	23233
347	17812	23135
348	17841	23056
349	17911	23028
350	18074	23120
351	18082	23014
352	18237	23094
353	18251	22994
354	18257	22886
355	18293	22815
356	18877	23425
357	18932	23374
358	18950	23278
359	19086	23328
360	19318	23492
361	19976	24170
362	20007	24086
363	20082	24054
364	20119	23978
365	20505	24314
366	20549	24245
367	20584	24164
368	20600	24062
369	20640	23987
370	21079	24375
371	21293	24499
372	21310	24395
373	21773	24800
374	21807	24714
375	21874	24667
376	21960	24640
377	22271	24863
378	22314	24787
379	22394	24751
380	22466	24707
381	22731	24874
382	22740	24758
383	22746	24641
384	22754	24527
385	22873	24532
386	22975	24518
387	23228	24665
388	23237	24551
389	23243	24435
390	23476	24557
391	23482	24441
392	23488	24325
393	23494	24209
394	23628	24226
395	23790	24270
396	23801	24161
397	23813	24052
398	24181	24302
399	24312	24312
400	24593	24470
